3 1 10 11 
4 0 2 11 12 
4 1 3 12 13 
4 2 7 14 15 
4 2 7 13 14 
4 7 6 16 17 
4 5 8 17 18 
4 3 5 15 16 
3 6 16 18 
4 1 10 19 20 
4 9 11 20 0 
4 10 12 21 1 
4 11 13 22 2 
4 12 14 23 4 
4 13 15 24 3 
4 14 16 25 7 
4 15 17 27 5 
4 16 18 28 6 
4 17 26 29 8 
4 11 20 30 9 
4 19 21 9 10 
4 20 22 35 32 
4 21 23 37 33 
4 22 24 34 13 
4 23 25 36 14 
4 24 26 38 15 
4 25 27 39 27 
4 26 28 26 16 
4 27 29 16 17 
4 28 38 28 18 
4 21 31 40 19 
4 30 37 46 41 
4 30 37 21 42 
4 37 36 22 34 
4 37 36 33 23 
4 30 37 41 21 
4 33 38 43 24 
4 31 33 42 48 
4 36 39 44 25 
4 38 43 51 26 
4 42 45 45 30 
4 33 42 31 35 
4 41 40 32 37 
4 42 47 49 36 
4 39 48 50 38 
4 40 47 54 40 
4 40 47 55 31 
4 45 48 32 37 
4 47 49 57 33 
4 48 50 58 43 
4 49 51 59 44 
4 50 52 65 39 
4 51 53 66 67 
3 52 66 67 
4 47 55 60 45 
4 54 56 61 46 
4 55 57 71 42 
4 56 58 62 48 
4 57 59 63 49 
4 58 62 43 50 
4 56 61 68 54 
4 60 62 69 55 
4 61 64 70 57 
4 61 64 48 58 
4 62 65 49 50 
4 64 66 75 51 
4 65 67 76 52 
4 66 72 77 53 
4 71 73 78 60 
4 62 71 73 61 
4 71 72 81 62 
4 69 70 74 56 
4 70 75 82 75 
4 68 74 79 69 
4 73 79 80 71 
4 72 76 72 65 
4 75 77 65 97 
4 76 82 66 91 
4 79 80 92 68 
4 74 78 87 73 
4 83 84 95 74 
4 79 83 90 70 
4 77 83 86 72 
4 81 80 101 100 
4 80 85 100 85 
4 84 89 84 86 
4 89 88 85 82 
4 80 90 94 79 
4 86 91 75 97 
4 85 86 97 91 
4 87 94 96 81 
4 88 93 77 93 
4 87 94 106 78 
3 91 97 91 
4 92 95 105 87 
4 94 100 103 80 
4 94 99 102 90 
4 93 98 76 77 
4 97 99 86 75 
4 98 100 84 86 
4 99 101 83 108 
4 100 102 81 83 
4 101 103 80 96 
4 104 105 87 95 
3 95 103 106 
4 103 106 92 94 
3 105 104 92 
4 101 108 86 88 
3 107 100 85 
